 Normal, Sick, Immune
1454,  45,1501
1448,  50,1502
1445,  53,1502
1440,  57,1503
1434,  60,1506
1431,  60,1509
1429,  61,1510
1423,  65,1512
1419,  68,1513
1413,  71,1516
1412,  70,1518
1409,  72,1519
1406,  73,1521
1399,  78,1523
1396,  80,1524
1396,  77,1527
1391,  81,1528
1388,  80,1532
1386,  78,1536
1382,  79,1539
1375,  86,1539
1371,  88,1541
1364,  89,1547
1361,  91,1548
1356,  95,1549
1353,  95,1552
1349,  96,1555
1344, 100,1556
1340, 101,1559
1333, 108,1559
1326, 110,1564
1322, 109,1569
1319, 107,1574
1314, 112,1574
1309, 112,1579
1305, 113,1582
1301, 112,1587
1293, 117,1590
1285, 122,1593
1277, 129,1594
1269, 135,1596
1266, 133,1601
1261, 132,1607
1255, 134,1611
1247, 138,1615
1240, 136,1624
1236, 137,1627
1233, 133,1634
1231, 129,1640
1228, 130,1642
1220, 135,1645
1215, 139,1646
1210, 140,1650
1208, 138,1654
1204, 140,1656
1200, 139,1661
1198, 138,1664
1194, 140,1666
1190, 142,1668
1189, 139,1672
1185, 140,1675
1180, 142,1678
1178, 140,1682
1174, 139,1687
1171, 138,1691
1165, 143,1692
1161, 144,1695
1157, 142,1701
1149, 147,1704
1143, 147,1710
1141, 147,1712
1139, 144,1717
1132, 147,1721
1128, 148,1724
1119, 153,1728
1107, 162,1731
1101, 160,1739
1093, 167,1740
1089, 167,1744
1086, 165,1749
1083, 166,1751
1072, 167,1761
1064, 171,1765
1060, 174,1766
1056, 171,1773
1053, 172,1775
1048, 169,1783
1043, 169,1788
1040, 169,1791
1037, 165,1798
1032, 166,1802
1028, 164,1808
1027, 159,1814
1020, 165,1815
1017, 159,1824
1015, 157,1828
1007, 162,1831
1002, 164,1834
1001, 160,1839
 997, 161,1842
